car,parking_pass,Fine_amount,date
346,770,77.34,4/1/2017
126,990,125.48,10/12/2015
857,277,34.13,4/30/2013
491,850,77.88,2/17/2018
475,924,23.56,3/22/2012
451,693,111.3,5/30/2015
573,78,207.72,2/6/2014
43,828,418.42,8/26/2012
548,798,61.76,10/3/2011
820,955,53.17,6/21/2011
572,849,173.68,7/15/2013
219,486,42.77,1/8/2010
78,576,162.19,9/3/2015
381,828,2.36,4/17/2011
736,173,134.81,12/20/2016
342,756,198.78,4/12/2016
820,687,38,4/22/2011
484,769,141.54,6/14/2012
404,250,30.35,4/12/2012
139,595,198.62,4/5/2016
460,203,365.89,8/22/2010
826,344,71.22,9/18/2011
750,87,22.23,7/18/2014
190,174,146.33,12/30/2011
365,748,177.19,1/9/2010
180,377,135.29,11/26/2011
374,135,44.9,6/5/2017
684,290,226.97,6/2/2014
161,927,9.82,3/16/2016
32,883,139.58,2/6/2010
965,980,44.97,3/19/2010
670,889,103.89,8/28/2017
908,544,138.34,5/20/2013
182,384,40.6,5/9/2012
774,35,18.78,5/5/2013
4,576,161.7,9/24/2010
112,872,355.16,1/9/2014
489,251,18.92,6/18/2016
539,506,293.93,2/24/2015
583,179,45.33,12/2/2014
143,236,52.94,3/2/2010
269,142,113.08,12/1/2013
493,839,266.11,11/26/2016
138,780,111.77,11/15/2014
396,257,130.66,9/13/2015
226,124,258.14,7/24/2017
148,796,298.02,2/17/2013
584,666,402.4,12/5/2013
890,732,79.94,10/9/2013
25,303,52.69,6/20/2011
919,145,85.24,4/4/2015
885,40,212.17,7/17/2011
590,461,27.32,8/6/2011
357,928,304.26,9/22/2014
113,21,86.71,6/27/2016
644,139,107.88,6/26/2015
504,853,62.85,7/9/2014
907,253,152.45,2/6/2011
625,186,13.4,9/3/2012
767,490,171.25,1/3/2013
867,236,101.7,5/21/2014
828,756,44.89,1/17/2018
893,468,1.27,9/24/2016
961,547,146.1,6/12/2011
460,476,388.16,3/10/2012
861,411,25.95,5/27/2016
910,483,177.32,2/25/2014
923,822,19.75,1/30/2010
784,668,363.3,7/16/2012
85,428,41.57,11/22/2014
728,977,147.84,4/1/2014
449,32,161.06,11/23/2014
520,589,231.88,12/29/2016
26,714,186.51,5/21/2014
291,787,105.45,3/28/2011
502,702,6.3,11/23/2014
321,905,336.01,6/11/2017
199,346,200.52,5/27/2017
249,534,198.25,9/11/2014
305,529,192.75,9/16/2017
357,243,32.82,7/13/2015
972,796,67.07,5/8/2011
881,97,50.23,8/14/2012
772,138,155.06,2/27/2013
662,165,39.83,2/11/2015
681,58,11.73,8/6/2017
908,680,161.6,3/2/2013
57,970,296.02,6/2/2012
206,157,8.98,5/23/2014
498,321,3.51,4/26/2013
609,645,127.01,1/8/2018
771,215,7.53,10/9/2014
292,988,38.73,8/10/2012
607,160,65.73,2/13/2016
400,732,12.57,7/6/2014
387,713,0.34,6/5/2017
882,486,19.7,3/16/2012
710,399,37.45,11/22/2015
849,871,108.94,12/10/2014
99,702,136.18,8/13/2012
353,741,8.22,2/16/2017
568,358,407.99,9/28/2015
445,847,7.39,11/19/2012
679,314,218.06,9/4/2013
857,963,392.83,2/25/2013
287,802,54.99,7/29/2014
678,687,61.68,11/11/2012
556,908,86.51,2/21/2018
522,316,257.13,9/5/2010
474,789,76.91,3/9/2012
657,517,239.23,10/5/2015
506,703,75.67,3/6/2016
13,676,93.99,3/30/2010
99,567,126.86,5/27/2010
974,934,7.16,9/11/2011
263,591,0.57,7/9/2012
303,725,155.12,5/18/2016
725,923,45.59,1/23/2012
862,947,34.4,7/31/2010
524,419,268.8,10/2/2011
954,511,5.88,6/9/2013
186,818,190.95,4/3/2017
718,619,125.76,1/28/2011
138,409,14.57,1/20/2011
531,89,59.28,6/13/2012
130,10,3.22,4/1/2017
124,352,34.46,7/22/2010
412,439,235.3,4/12/2017
394,146,225.01,6/10/2013
92,293,95.33,8/30/2013
701,965,9.61,5/11/2011
372,80,316.16,7/26/2013
38,905,8.45,1/20/2012
427,27,227.29,11/25/2012
755,792,347,3/24/2016
543,184,30.62,12/29/2014
253,202,174.85,6/13/2014
412,771,60.01,9/23/2010
967,381,239.27,9/25/2015
611,783,279.42,7/23/2014
352,558,105.73,12/25/2012
685,725,101.53,6/4/2011
144,290,198.09,5/20/2017
231,63,8.31,2/18/2014
43,501,305.49,5/15/2011
734,556,57.02,1/21/2013
674,355,26.9,2/16/2015
90,699,24.95,9/2/2011
161,849,132.92,6/3/2012
267,227,187.49,7/12/2014
437,633,104.31,5/31/2016
909,698,344.34,1/27/2015
632,324,251.45,5/25/2010
345,970,281.43,10/24/2010
290,343,2.25,1/8/2011
