car,Fine_amount,date
651,7.21,6/5/2016
614,20.21,11/13/2010
524,292.23,5/25/2017
557,13.43,10/14/2010
969,6.07,2/6/2014
182,117.32,2/1/2014
751,42.97,3/13/2011
646,63.26,5/19/2013
544,128.65,2/8/2011
713,146.28,4/18/2010
709,221.96,11/7/2015
